"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 15","4.98","5.54","6.02","4.97","90.24M","-7.95%"
"Dec 15","4.63","5.01","5.14","4.35","101.34M","-7.03%"
"Jan 16","4.58","4.56","4.67","3.18","108.80M","-1.08%"
"Feb 16","4.55","4.53","5.19","3.72","161.58M","-0.66%"
"Mar 16","6.27","4.63","6.74","4.59","194.29M","37.80%"
"Apr 16","5.31","6.15","6.40","5.08","160.91M","-15.31%"
"May 16","4.60","5.42","5.66","4.21","152.94M","-13.37%"
"Jun 16","5.94","4.67","5.94","4.26","168.27M","29.13%"
"Jul 16","7.42","5.98","7.55","5.79","209.51M","24.92%"
"Aug 16","7.14","7.44","8.14","7.04","165.50M","-3.77%"
"Sep 16","7.00","7.31","7.98","6.66","128.02M","-1.96%"
"Oct 16","7.96","6.95","8.04","6.94","146.20M","13.71%"
"Nov 16","6.45","7.97","8.00","6.02","133.36M","-18.97%"
"Dec 16","6.56","6.37","6.59","5.76","107.90M","1.71%"
"Jan 17","7.78","6.54","7.90","6.30","138.62M","18.60%"
"Feb 17","9.10","7.69","9.99","7.34","149.29M","16.97%"
"Mar 17","8.78","8.89","10.25","7.67","199.86M","-3.52%"
"Apr 17","7.56","8.92","8.92","7.23","148.71M","-13.90%"
"May 17","6.68","7.61","8.42","4.49","202.74M","-11.64%"
"Jun 17","7.06","6.69","7.38","6.42","178.44M","5.69%"
"Jul 17","7.45","7.08","7.99","7.04","115.70M","5.52%"
"Aug 17","7.33","7.45","7.95","6.82","173.39M","-1.61%"
"Sep 17","6.98","7.39","8.09","6.75","189.30M","-4.77%"
"Oct 17","6.97","6.95","7.49","6.91","171.54M","-0.14%"
"Nov 17","5.95","6.94","7.05","5.82","237.01M","-14.63%"
"Dec 17","6.19","6.00","6.34","5.70","159.38M","4.03%"
"Jan 18","6.76","6.20","7.01","5.83","251.76M","9.21%"
"Feb 18","7.40","6.75","7.69","6.34","211.31M","9.47%"
"Mar 18","7.72","7.45","7.91","7.12","220.27M","4.32%"
"Apr 18","7.63","7.72","7.79","7.15","166.36M","-1.17%"
"May 18","7.35","7.67","8.01","6.96","256.82M","-3.67%"
"Jun 18","7.00","7.38","7.49","6.19","209.60M","-4.76%"
"Jul 18","7.89","6.93","8.12","6.89","136.84M","12.71%"
"Aug 18","7.15","7.90","8.21","6.97","243.91M","-9.38%"
"Sep 18","6.86","7.17","7.27","6.37","190.26M","-4.06%"
"Oct 18","10.57","6.90","11.94","6.68","617.41M","54.08%"
"Nov 18","12.18","10.64","12.34","10.40","275.28M","15.23%"
"Dec 18","13.43","12.28","13.43","11.54","209.59M","10.26%"
"Jan 19","13.42","13.42","14.15","12.61","297.40M","-0.07%"
"Feb 19","13.95","13.37","14.51","12.46","243.48M","3.95%"
"Mar 19","13.47","14.04","14.51","12.64","177.77M","-3.44%"
"Apr 19","14.28","13.47","14.33","13.08","207.08M","6.01%"
"May 19","14.76","14.10","14.95","12.44","234.05M","3.36%"
"Jun 19","14.85","14.80","15.74","14.07","189.22M","0.61%"
"Jul 19","14.14","14.99","15.59","13.82","164.12M","-4.78%"
"Aug 19","14.76","14.20","15.42","13.65","243.31M","4.38%"
"Sep 19","14.33","14.70","15.05","13.64","198.52M","-2.91%"
"Oct 19","13.65","14.32","14.54","13.07","185.99M","-4.75%"
"Nov 19","13.05","13.66","13.70","12.20","132.48M","-4.40%"
"Dec 19","13.79","13.06","13.88","12.63","-","5.67%"
"Jan 20","14.95","13.81","15.79","13.45","-","8.41%"
"Feb 20","13.96","15.03","16.21","13.12","-","-6.62%"
"Mar 20","9.11","13.85","15.02","7.54","8.81M","-34.74%"
"Apr 20","9.52","8.91","10.42","7.86","12.76M","4.50%"
"May 20","10.80","9.52","11.40","7.58","17.57M","13.45%"
"Jun 20","11.02","10.65","12.23","10.45","10.96M","2.04%"
"Jul 20","12.00","11.15","12.67","10.98","7.63M","8.89%"
"Aug 20","10.53","11.37","11.59","10.02","-","-12.25%"
"Sep 20","10.10","10.65","11.50","9.95","-","-4.08%"
"Oct 20","10.25","10.10","11.15","9.96","-","1.49%"
