"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 15","23.66","26.72","28.74","23.56","13.73M","-11.72%"
"Dec 15","20.04","23.56","23.78","19.20","12.70M","-15.30%"
"Jan 16","18.18","19.90","19.90","14.31","15.01M","-9.28%"
"Feb 16","19.07","18.22","20.40","17.26","10.75M","4.90%"
"Mar 16","23.62","19.43","25.38","19.12","19.80M","23.86%"
"Apr 16","24.37","23.90","24.89","21.70","16.75M","3.18%"
"May 16","20.39","24.45","24.92","19.99","14.59M","-16.33%"
"Jun 16","25.16","20.39","26.75","19.92","17.79M","23.39%"
"Jul 16","27.68","25.56","29.80","24.61","13.23M","10.02%"
"Aug 16","28.38","27.77","30.61","26.43","13.42M","2.53%"
"Sep 16","28.95","28.57","30.61","27.32","10.47M","2.01%"
"Oct 16","31.47","28.98","32.56","28.58","12.39M","8.70%"
"Nov 16","24.92","31.83","32.35","23.75","13.34M","-20.81%"
"Dec 16","23.55","24.71","25.38","22.44","11.14M","-5.50%"
"Jan 17","27.68","23.57","28.19","23.30","11.25M","17.54%"
"Feb 17","29.01","28.00","30.56","27.05","10.26M","4.80%"
"Mar 17","28.19","29.08","30.81","27.14","12.84M","-2.83%"
"Apr 17","25.11","28.06","28.16","24.55","10.68M","-10.93%"
"May 17","25.66","25.67","28.28","23.41","24.08M","2.19%"
"Jun 17","22.60","25.68","26.05","22.09","18.37M","-11.93%"
"Jul 17","23.87","23.03","24.95","22.40","10.23M","5.62%"
"Aug 17","26.48","23.89","27.95","23.26","15.36M","10.93%"
"Sep 17","26.01","26.78","27.84","25.06","8.47M","-1.77%"
"Oct 17","23.02","25.89","27.27","23.02","13.79M","-11.50%"
"Nov 17","21.25","23.14","23.60","20.98","37.39M","-7.69%"
"Dec 17","22.99","21.25","22.99","20.31","19.62M","8.19%"
"Jan 18","23.54","23.20","23.92","21.57","16.51M","2.39%"
"Feb 18","24.35","23.52","25.55","21.90","14.69M","3.44%"
"Mar 18","25.05","24.40","26.57","23.79","16.05M","2.87%"
"Apr 18","25.73","24.90","26.17","23.49","11.92M","2.71%"
"May 18","22.57","25.59","25.59","22.38","16.54M","-12.28%"
"Jun 18","21.14","22.63","23.46","19.86","19.60M","-6.34%"
"Jul 18","19.77","20.93","22.33","19.71","15.44M","-6.48%"
"Aug 18","19.66","19.88","20.89","18.42","18.63M","-0.56%"
"Sep 18","20.65","19.65","21.83","19.31","14.59M","5.04%"
"Oct 18","25.30","20.66","25.89","20.25","22.10M","22.52%"
"Nov 18","31.34","25.30","31.86","25.02","17.94M","23.87%"
"Dec 18","30.55","31.44","32.98","28.04","19.73M","-2.52%"
"Jan 19","34.98","30.27","36.54","29.89","23.78M","14.50%"
"Feb 19","35.41","34.87","36.06","33.15","16.96M","1.23%"
"Mar 19","36.06","35.66","39.46","33.35","22.57M","1.84%"
"Apr 19","41.20","36.18","41.20","34.99","18.78M","14.25%"
"May 19","48.00","41.08","48.34","40.68","21.49M","16.50%"
"Jun 19","48.60","48.10","49.79","46.57","15.20M","1.25%"
"Jul 19","49.15","49.35","51.29","46.71","17.82M","1.13%"
"Aug 19","52.10","49.56","53.42","47.55","18.55M","6.00%"
"Sep 19","47.85","51.02","52.56","47.02","15.10M","-8.16%"
"Oct 19","53.69","47.99","53.97","46.81","19.53M","12.20%"
"Nov 19","61.00","53.72","61.29","52.27","21.43M","13.62%"
"Dec 19","69.07","61.02","69.34","59.60","19.49M","13.23%"
"Jan 20","73.42","69.01","76.01","67.37","19.54M","6.30%"
"Feb 20","71.71","73.39","78.71","68.21","18.55M","-2.33%"
"Mar 20","53.50","72.20","77.45","42.21","1.58M","-25.39%"
"Apr 20","54.40","52.00","60.54","48.48","2.07M","1.68%"
"May 20","63.30","54.00","66.14","52.26","13.69M","16.36%"
"Jun 20","60.82","63.60","68.10","60.48","1.16M","-3.92%"
"Jul 20","66.38","61.73","67.35","58.65","1.29M","9.14%"
"Aug 20","61.78","67.46","67.46","58.44","1.58M","-6.93%"
"Sep 20","62.01","62.52","67.50","60.78","1.10M","0.37%"
"Oct 20","61.76","61.91","68.54","60.15","2.25M","-0.40%"
