"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 15","9.64","8.92","10.64","8.92","40.03M","10.05%"
"Dec 15","9.70","9.60","10.26","9.06","22.94M","0.62%"
"Jan 16","9.33","9.45","9.65","7.58","31.17M","-3.81%"
"Feb 16","9.07","9.27","9.83","8.82","29.70M","-2.79%"
"Mar 16","9.75","9.14","10.74","9.04","46.90M","7.50%"
"Apr 16","11.90","9.68","12.21","9.22","39.76M","22.05%"
"May 16","11.61","11.98","12.77","10.40","42.44M","-2.44%"
"Jun 16","16.35","11.60","17.86","11.45","46.56M","40.83%"
"Jul 16","20.69","16.46","20.98","15.65","38.96M","26.54%"
"Aug 16","26.47","20.69","26.93","20.35","36.85M","27.94%"
"Sep 16","22.17","26.51","28.24","21.92","31.54M","-16.24%"
"Oct 16","25.40","22.11","26.60","21.31","40.92M","14.57%"
"Nov 16","26.31","25.26","27.40","22.37","37.12M","3.58%"
"Dec 16","24.04","26.20","26.70","22.45","21.74M","-8.63%"
"Jan 17","22.95","23.94","25.18","22.74","17.77M","-4.53%"
"Feb 17","22.84","23.22","25.06","22.30","20.88M","-0.48%"
"Mar 17","20.50","23.12","23.73","19.73","27.25M","-10.25%"
"Apr 17","21.27","20.62","21.27","17.77","28.85M","3.76%"
"May 17","17.26","21.50","22.19","15.57","45.09M","-18.85%"
"Jun 17","16.41","17.32","17.98","15.41","27.72M","-4.92%"
"Jul 17","16.67","16.54","19.96","16.19","41.45M","1.58%"
"Aug 17","20.53","16.61","24.08","16.46","61.93M","23.16%"
"Sep 17","22.69","20.80","25.90","20.46","31.34M","10.52%"
"Oct 17","25.34","22.48","28.35","22.30","28.37M","11.68%"
"Nov 17","21.36","25.15","25.55","21.18","43.28M","-15.71%"
"Dec 17","22.70","21.30","22.93","19.62","23.54M","6.27%"
"Jan 18","23.69","22.80","24.40","19.33","34.53M","4.36%"
"Feb 18","27.90","23.71","30.07","22.38","60.24M","17.77%"
"Mar 18","24.10","28.00","29.30","23.92","34.41M","-13.62%"
"Apr 18","22.80","24.10","25.71","20.94","48.72M","-5.39%"
"May 18","16.75","23.10","24.19","16.05","42.78M","-26.54%"
"Jun 18","13.55","17.42","18.97","13.31","60.43M","-19.10%"
"Jul 18","19.28","13.55","20.55","13.34","49.36M","42.29%"
"Aug 18","18.10","19.26","19.99","16.48","38.41M","-6.12%"
"Sep 18","18.62","18.16","19.40","16.99","34.94M","2.87%"
"Oct 18","26.60","18.47","27.29","17.57","88.62M","42.86%"
"Nov 18","28.32","26.61","29.57","24.76","54.26M","6.47%"
"Dec 18","28.17","28.99","30.04","25.51","46.11M","-0.53%"
"Jan 19","39.12","27.10","39.41","26.91","76.87M","38.87%"
"Feb 19","37.46","39.12","40.82","35.15","52.30M","-4.24%"
"Mar 19","36.39","38.21","38.43","32.97","53.15M","-2.86%"
"Apr 19","34.65","36.72","37.65","31.47","43.64M","-4.78%"
"May 19","35.67","34.49","36.00","31.55","43.28M","2.94%"
"Jun 19","36.00","35.99","37.80","33.90","40.42M","0.93%"
"Jul 19","39.60","36.29","40.89","35.05","35.52M","10.00%"
"Aug 19","46.95","40.35","47.99","38.93","68.45M","18.56%"
"Sep 19","42.02","46.85","47.70","40.31","48.94M","-10.50%"
"Oct 19","40.99","41.98","42.00","35.58","60.10M","-2.45%"
"Nov 19","35.93","41.01","43.48","34.66","45.16M","-12.34%"
"Dec 19","38.24","36.08","38.93","35.65","39.12M","6.43%"
"Jan 20","40.87","38.39","43.37","37.72","53.90M","6.88%"
"Feb 20","35.85","40.91","41.52","33.61","54.05M","-12.28%"
"Mar 20","26.03","35.85","37.12","16.12","5.56M","-27.39%"
"Apr 20","27.84","24.81","31.23","22.74","4.25M","6.95%"
"May 20","30.70","27.84","31.70","22.00","4.34M","10.27%"
"Jun 20","32.24","30.66","33.80","29.66","3.51M","5.02%"
"Jul 20","38.45","32.26","41.55","32.21","2.85M","19.26%"
"Aug 20","35.89","38.82","40.16","31.75","-","-6.66%"
"Sep 20","31.19","36.28","38.75","30.86","-","-13.10%"
"Oct 20","30.99","31.36","34.97","30.06","-","-0.64%"
