"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 15","2.50","2.34","2.63","2.32","9.87K","-1.57%"
"Dec 15","2.73","2.50","2.73","2.41","19.94K","9.20%"
"Jan 16","2.36","2.45","2.53","2.36","24.92K","-13.55%"
"Feb 16","2.10","2.10","2.10","2.10","0.10K","-11.02%"
"Mar 16","3.26","2.10","3.91","2.10","4.88K","55.24%"
"Apr 16","2.70","2.69","2.98","2.66","7.02K","-17.18%"
"May 16","2.80","2.52","2.80","2.52","2.24K","3.70%"
"Jun 16","2.80","2.80","2.84","2.70","2.95K","0.00%"
"Jul 16","3.74","2.98","3.82","2.80","4.27K","33.57%"
"Aug 16","4.69","3.75","5.63","2.88","8.65K","25.40%"
"Sep 16","3.89","4.22","4.60","3.80","4.68K","-17.06%"
"Oct 16","4.69","4.03","4.69","3.85","3.97K","20.57%"
"Nov 16","3.86","4.69","6.47","3.75","33.37K","-17.70%"
"Dec 16","3.66","3.75","4.22","3.02","10.17K","-5.18%"
"Jan 17","4.11","3.66","5.16","3.66","18.31K","12.30%"
"Feb 17","4.74","4.69","5.20","4.52","10.58K","15.33%"
"Mar 17","4.92","5.22","5.41","4.08","15.46K","3.80%"
"Apr 17","5.69","5.41","5.74","4.66","8.55K","15.65%"
"May 17","5.79","5.69","8.06","4.88","20.35K","1.76%"
"Jun 17","6.07","5.81","6.15","5.12","16.78K","4.84%"
"Jul 17","6.70","6.26","6.70","5.79","5.80K","10.38%"
"Aug 17","6.67","6.70","7.11","5.97","18.11K","-0.45%"
"Sep 17","7.11","6.67","7.46","6.31","9.77K","6.60%"
"Oct 17","6.27","6.41","7.07","6.12","2.34K","-11.81%"
"Nov 17","7.94","6.70","8.19","6.29","8.55K","26.63%"
"Dec 17","9.37","7.65","9.66","7.65","1.73K","18.01%"
"Jan 18","10.52","9.57","10.52","8.54","10.68K","12.27%"
"Feb 18","9.36","10.62","10.67","8.64","9.77K","-11.03%"
"Mar 18","8.55","8.89","9.17","8.02","16.07K","-8.65%"
"Apr 18","9.20","9.60","10.63","8.50","21.26K","7.60%"
"May 18","8.41","8.89","9.87","8.21","18.51K","-8.59%"
"Jun 18","8.62","8.49","9.15","8.31","5.49K","2.50%"
"Jul 18","8.31","8.89","9.47","8.22","7.43K","-3.60%"
"Aug 18","9.79","8.67","10.38","8.38","14.75K","17.81%"
"Sep 18","10.60","9.79","11.18","9.15","9.56K","8.27%"
"Oct 18","10.21","10.31","11.19","9.25","12.82K","-3.68%"
"Nov 18","8.90","10.20","12.64","8.86","48.30K","-12.83%"
"Dec 18","8.01","9.00","9.18","7.73","56.50K","-10.00%"
"Jan 19","14.19","8.01","15.47","8.01","96.70K","77.15%"
"Feb 19","14.36","13.95","15.82","13.06","99.30K","1.20%"
"Mar 19","15.53","14.57","16.77","13.48","83.50K","8.15%"
"Apr 19","13.35","15.50","16.45","12.40","114.50K","-14.04%"
"May 19","14.03","13.29","16.22","13.29","88.40K","5.09%"
"Jun 19","13.94","14.14","14.84","13.05","172.30K","-0.64%"
"Jul 19","13.74","13.93","13.93","12.95","114.80K","-1.43%"
"Aug 19","13.80","13.77","13.89","12.61","92.00K","0.44%"
"Sep 19","11.10","13.79","14.01","10.90","227.00K","-19.57%"
"Oct 19","11.33","11.25","12.34","10.25","179.70K","2.07%"
"Nov 19","11.75","11.27","11.91","10.94","138.50K","3.71%"
"Dec 19","13.55","11.80","13.88","11.55","151.50K","15.32%"
"Jan 20","12.75","13.44","13.52","12.34","145.00K","-5.90%"
"Feb 20","12.39","12.88","13.62","11.76","78.70K","-2.82%"
"Mar 20","11.62","12.99","13.60","10.25","16.90K","-6.21%"
"Apr 20","11.80","11.78","13.09","11.01","6.20K","1.55%"
"May 20","11.82","11.87","12.49","10.35","4.60K","0.17%"
"Jun 20","12.31","12.14","12.73","11.66","6.40K","4.15%"
"Jul 20","13.93","12.12","15.20","11.79","37.90K","13.16%"
"Aug 20","12.66","13.95","15.00","12.20","9.70K","-9.12%"
"Sep 20","12.43","12.84","13.69","12.05","6.00K","-1.82%"
"Oct 20","12.96","12.37","13.49","12.03","4.70K","4.26%"
