"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 15","6.54","6.41","7.07","6.41","156.31M","2.03%"
"Dec 15","6.44","6.52","6.88","6.30","150.48M","-1.53%"
"Jan 16","6.81","6.38","6.89","6.14","128.14M","5.75%"
"Feb 16","7.20","6.77","7.28","6.62","105.20M","5.73%"
"Mar 16","7.71","7.25","7.82","7.02","150.70M","7.08%"
"Apr 16","8.13","7.61","8.18","7.23","105.00M","5.45%"
"May 16","8.72","8.10","8.92","8.00","128.33M","7.26%"
"Jun 16","9.30","8.73","9.49","8.69","122.08M","6.65%"
"Jul 16","10.62","9.35","10.69","9.21","147.48M","14.19%"
"Aug 16","9.67","10.62","10.65","9.49","107.66M","-8.95%"
"Sep 16","9.62","9.71","10.18","9.44","90.73M","-0.52%"
"Oct 16","10.89","9.62","10.95","9.57","126.01M","13.20%"
"Nov 16","10.04","10.90","10.94","9.69","129.10M","-7.81%"
"Dec 16","10.46","9.82","10.57","9.38","123.99M","4.18%"
"Jan 17","11.17","10.46","11.37","10.17","101.13M","6.79%"
"Feb 17","11.44","11.28","11.69","10.80","89.16M","2.42%"
"Mar 17","11.30","11.51","11.91","10.38","134.49M","-1.22%"
"Apr 17","11.17","11.30","11.51","10.92","94.98M","-1.15%"
"May 17","10.38","11.18","11.23","9.52","189.29M","-7.07%"
"Jun 17","10.53","10.36","10.58","9.91","116.67M","1.45%"
"Jul 17","11.02","10.53","11.13","10.45","106.84M","4.65%"
"Aug 17","11.88","11.03","12.17","10.95","120.27M","7.80%"
"Sep 17","11.90","11.93","12.61","11.76","97.77M","0.17%"
"Oct 17","11.85","11.87","12.39","11.50","146.75M","-0.42%"
"Nov 17","12.43","11.91","12.82","11.46","90.13M","4.89%"
"Dec 17","12.76","12.43","13.04","12.15","75.01M","2.65%"
"Jan 18","13.62","12.76","13.77","12.55","94.82M","6.74%"
"Feb 18","13.94","13.74","14.11","13.05","85.15M","2.35%"
"Mar 18","13.92","13.82","14.40","13.23","107.22M","-0.14%"
"Apr 18","14.07","13.93","14.27","13.23","85.99M","1.08%"
"May 18","12.02","13.98","14.09","11.67","159.60M","-14.57%"
"Jun 18","11.22","11.95","12.41","11.12","135.69M","-6.66%"
"Jul 18","12.11","11.23","12.30","11.12","103.08M","7.93%"
"Aug 18","11.27","12.16","12.31","11.09","115.09M","-6.94%"
"Sep 18","11.36","11.25","12.16","11.00","97.93M","0.80%"
"Oct 18","13.44","11.30","13.48","11.21","147.12M","18.31%"
"Nov 18","14.36","13.47","14.78","13.27","108.17M","6.85%"
"Dec 18","14.74","14.56","14.77","13.65","96.74M","2.65%"
"Jan 19","17.43","14.74","17.59","14.61","160.02M","18.25%"
"Feb 19","16.24","17.44","17.61","16.02","118.44M","-6.83%"
"Mar 19","15.81","16.24","16.49","15.24","115.76M","-2.65%"
"Apr 19","16.23","15.99","16.47","15.20","141.58M","2.66%"
"May 19","17.23","16.25","17.50","15.67","125.95M","6.16%"
"Jun 19","18.36","17.25","18.58","17.11","108.05M","6.56%"
"Jul 19","18.90","18.36","19.93","17.83","125.89M","2.94%"
"Aug 19","19.15","19.01","19.66","18.20","159.94M","1.32%"
"Sep 19","20.06","19.12","20.99","18.83","114.99M","4.75%"
"Oct 19","20.38","20.10","20.79","19.21","137.97M","1.60%"
"Nov 19","20.64","20.33","20.95","19.81","112.68M","1.28%"
"Dec 19","22.79","20.73","23.18","20.48","114.69M","10.42%"
"Jan 20","23.84","22.88","24.84","22.75","112.93M","4.61%"
"Feb 20","24.66","23.95","26.58","23.05","97.48M","3.44%"
"Mar 20","17.60","24.39","26.91","15.13","11.46M","-28.63%"
"Apr 20","18.33","17.60","19.95","15.62","13.79M","4.15%"
"May 20","20.05","18.33","20.30","16.16","15.76M","9.38%"
"Jun 20","23.22","19.77","23.45","19.58","8.73M","15.81%"
"Jul 20","25.53","23.22","25.69","23.13","4.50M","9.95%"
"Aug 20","23.20","25.44","25.72","22.75","-","-9.13%"
"Sep 20","21.18","23.50","24.36","20.96","-","-8.71%"
"Oct 20","19.93","21.10","22.02","19.53","-","-5.90%"
