"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 15","12.05","13.60","14.18","11.74","15.16M","-11.40%"
"Dec 15","11.85","12.11","12.54","11.18","14.73M","-1.66%"
"Jan 16","12.30","11.76","12.31","10.64","25.92M","3.80%"
"Feb 16","13.34","12.21","13.42","11.90","11.42M","8.46%"
"Mar 16","14.27","13.25","14.67","12.48","21.98M","6.97%"
"Apr 16","14.49","14.10","15.51","13.54","11.77M","1.54%"
"May 16","14.45","14.64","15.12","13.91","11.02M","-0.28%"
"Jun 16","14.72","14.54","15.09","13.45","12.03M","1.87%"
"Jul 16","19.85","14.90","20.10","14.67","26.80M","34.85%"
"Aug 16","18.23","19.95","19.96","16.37","23.13M","-8.16%"
"Sep 16","16.48","17.57","18.56","16.34","15.00M","-9.60%"
"Oct 16","16.30","16.48","17.22","15.92","40.80M","-1.09%"
"Nov 16","15.01","16.36","16.47","14.14","56.12M","-7.91%"
"Dec 16","16.78","15.13","16.87","14.50","43.90M","11.79%"
"Jan 17","17.36","16.75","18.03","16.61","27.03M","3.46%"
"Feb 17","17.80","17.47","18.17","16.96","21.37M","2.53%"
"Mar 17","18.57","17.80","18.86","17.25","30.89M","4.33%"
"Apr 17","18.61","18.61","19.29","18.05","25.30M","0.22%"
"May 17","19.21","18.77","20.61","17.88","69.27M","3.22%"
"Jun 17","18.66","19.38","19.60","18.09","44.01M","-2.86%"
"Jul 17","19.65","18.74","20.08","18.37","43.46M","5.31%"
"Aug 17","19.22","19.71","20.48","18.96","24.74M","-2.19%"
"Sep 17","19.00","19.24","20.21","18.28","27.97M","-1.14%"
"Oct 17","17.51","19.07","19.75","17.41","40.35M","-7.84%"
"Nov 17","18.42","17.59","19.04","16.77","79.90M","5.20%"
"Dec 17","18.71","18.29","18.71","17.55","28.82M","1.57%"
"Jan 18","16.49","17.46","17.63","16.46","27.82M","-11.84%"
"Feb 18","16.78","16.54","17.71","15.96","30.59M","1.74%"
"Mar 18","17.79","16.68","17.79","16.48","29.40M","6.00%"
"Apr 18","17.43","17.76","18.09","16.62","29.50M","-2.02%"
"May 18","16.70","17.34","17.44","15.58","82.87M","-4.16%"
"Jun 18","16.23","16.67","17.36","15.91","41.30M","-2.81%"
"Jul 18","17.55","16.23","17.88","16.15","21.36M","8.07%"
"Aug 18","17.87","17.56","18.84","17.08","36.61M","1.87%"
"Sep 18","17.78","17.83","18.21","16.98","27.14M","-0.50%"
"Oct 18","19.79","17.78","20.62","17.54","59.24M","11.30%"
"Nov 18","20.63","19.83","21.07","19.65","40.72M","4.23%"
"Dec 18","22.03","20.65","22.29","20.35","33.13M","6.79%"
"Jan 19","24.01","22.17","24.49","21.98","40.01M","8.98%"
"Feb 19","23.30","24.04","24.60","23.22","30.13M","-2.95%"
"Mar 19","23.15","23.32","24.74","22.00","31.87M","-0.64%"
"Apr 19","24.51","23.24","24.82","22.78","25.36M","5.85%"
"May 19","25.22","24.57","25.22","22.77","27.69M","2.90%"
"Jun 19","25.82","25.22","26.13","24.77","24.54M","2.37%"
"Jul 19","26.44","26.07","27.57","25.78","29.14M","2.43%"
"Aug 19","27.40","26.50","28.21","26.11","39.14M","3.60%"
"Sep 19","28.08","27.40","29.18","27.01","29.57M","2.49%"
"Oct 19","28.16","28.08","28.16","26.57","34.78M","0.28%"
"Nov 19","28.13","28.23","28.53","27.24","24.67M","-0.09%"
"Dec 19","31.18","28.14","31.22","28.00","30.10M","10.83%"
"Jan 20","30.96","31.15","32.35","29.70","43.74M","-0.71%"
"Feb 20","29.99","31.10","31.81","28.30","36.99M","-3.13%"
"Mar 20","25.83","30.01","31.31","24.00","92.32M","-13.87%"
"Apr 20","27.32","25.83","28.77","24.74","3.87M","5.77%"
"May 20","28.54","27.50","28.95","26.12","2.81M","4.46%"
"Jun 20","28.10","28.57","29.67","27.95","3.38M","-1.54%"
"Jul 20","28.96","28.10","29.50","28.00","2.26M","3.06%"
"Aug 20","28.21","29.16","29.79","28.05","-","-2.59%"
"Sep 20","27.96","28.39","29.57","27.70","-","-0.89%"
"Oct 20","28.15","28.04","28.99","27.83","-","0.68%"
